"numer_kolumny";"nazwa_kolumny";"opis_kolumny"
287;"aj16.3";"nie mozna eksperymentowac na dzieciach"
288;"aj16.4";"reforma jest niedopracowana"
289;"aj16.5";"wzrosna nasze wydatki na ksztalcenie"
290;"aj16.6";"podniesie sie poziom wykszt.moich dzieci"
291;"aj16.7";"reforma jest potrzebna, ale pozniej"
292;"aj16.8";"reforma oswiaty wyrowna szanse dzieci"
293;"aj16.9";"reforma oswiaty utrudni zycie rodzinne"
294;"aj17a";"srodek transportu do szkoly w 99/2000"
295;"aj17b";"czas do i ze szkoly w 98/99"
296;"aj19b";"pozadany dla danego dziecka poziom wyksztalcenia"
297;"aj19c";"ocen szans osiagniecia pozadanego poziomu wyksztalcenia"
298;"aj18";"Czy ktores z dzieci musialo zmienic szkole"
299;"aj20.1";"utrudnia uczenie: brak czasu u dzieci"
300;"aj20.2";"utrudnia uczenie: brak szkoly w poblizu"
301;"aj20.3";"utrudnia uczenie: brak miejsc w szkole"
302;"aj20.4";"utrudnia uczenie: brak pieniedzy"
303;"aj20.5";"utrudnia uczenie: stan zdrowia dzieci"
304;"aj20.6";"utrudnia uczenie: dzieci nie chca"
305;"aj20.7";"utrudnia uczenie: inne"
306;"aj21";"Czy jest zadowolony ze szkol swoich dzieci"
307;"ak1.1";"musial zrezygnowac z kina"
308;"ak1.2";"musial zrezygnowac z teatru itp"
309;"ak1.3";"musial zrezygnowac z muzeum, wystawy"
310;"ak1.4";"musial zrezygnowac z kupna ksiazki"
311;"ak2.1";"musial zrezygnowac z kolonii dzieci"
312;"ak2.2";"musial zrezygnowac z urlopu doroslych"
313;"ak2.3";"musial zrezygnowac z wyjazdow rodzinnych"
314;"ak3.1";"musial zrezygnowac z zakupu prasy"
315;"ak3.2";"musial zrezygnowac z zakupu nagran audio"
316;"ak3.3";"musial zrezygnowac z kasety wideo"
317;"ak4";"Ocena zaspokojenie potrzeb kult.-wyp."
318;"al1.1";"przebywal w szpitalu prywatnym"
319;"al1.2";"przebywal w szpitalu publicznym"
320;"al2.1";"Ile na platne leczenie w szpitalu"
321;"al2.2";"Ile na legalne oplaty w szpitalu publicznym"
322;"al2.3";"Ile na oplaty nieformalne"
323;"al2.4";"Ile na szczere prezenty"
324;"al3.1";"Czy za szpital placili sami"
325;"al3.2";"Czy za szpital placila KCh"
326;"al3.3";"Czy za szpital placil pracodawca"
327;"al4.1";"Czy byl u lekarza w prywatnych placowkach"
328;"al4.2";"Czy byl u lekarza w publicznych placowkach"
329;"al5.1";"Czy placili za lekarza sami"
330;"al5.2";"Czy placila za lekarza KCh"
331;"al5.3";"Czy placil za lekarza pracodawca"
332;"al6.1";"Czy byl u dentysty w prywatnych placowkach"
333;"al6.2";"Czy byl u dentysty w publicznych placowkach"
334;"al7.1";"Czy placili za dentyste sami"
335;"al7.2";"Czy placila za dentyste KCh"
336;"al7.3";"Czy placil za dentyste pracodawca"
337;"al8.1";"Czy wykonywal badania w prywatnych placowkach"
338;"al8.2";"Czy wykonywal badania w publicznych placowkach"
339;"al9.1";"Czy placili za badania sami"
340;"al9.2";"Czy placila za badania KCh"
341;"al9.3";"Czy placil za badania pracodawca"
342;"al10.1";"Czy rehabilitowal sie publicznych placowkach"
343;"al10.2";"Czy rehabilitowal sie w prywatnych placowkach"
344;"al11.1";"Czy placili za rehabilitacje sami"
345;"al11.2";"Czy placila za rehabilitacje KCh"
346;"al11.3";"Czy placil za rehabilitacje pracodawca"
347;"al12.1";"Ile na kupowanie uslug"
348;"al12.2";"Ile na legalne oplaty w zakladach publicznych"
349;"al12.3";"Ile na oplaty nieformalne"
350;"al12.4";"Ile na szczere prezenty"
351;"al13";"Ile na leki i inne artykuly farmaceutyczne"
352;"al14";"Czy zaopatrywal sie nieodplatnie w leki z darow"
353;"al15.1";"Czy nie starczylo wykupienie zalecanych lekow"
354;"al15.2";"z braku pieniedzy nie leczyli zebow, mimo potrzeby"
355;"al15.3";"z braku pieniedzy rezygnowali z protez zebowych"
356;"al15.4";"z braku pieniedzy rezygnowali z lekarza"
357;"al15.5";"z braku pieniedzy rezygnowali z badan medycznych"
358;"al15.6";"z braku pieniedzy rezygnowali z rehabilitacji"
359;"al15.7";"z braku pieniedzy rezygnowali z sanatorium"
360;"al15.8";"z braku pieniedzy rezygnowali ze szpitala"
361;"al16";"Czy korzystal z pomocy spolecznej dotyczacej lekow"
362;"al17";"Czy dzieci maja w szkole pielegniarke"
363;"al18";"Ocena zaspokojenie potrzeb zdrowotnych"
364;"al19";"Czy ma informacje o zreformowanej sluzby zdrowia"
365;"al20.1";"Czy juz wybral przychodnie"
366;"al20.2";"Czy juz wybral lekarza rodzinnego"
367;"al20.3";"Czy juz wybral lekarza pierwszego kontaktu"
368;"al21.1";"bliskosc miejsca zamieszkania"
369;"al21.2";"chec kontynuacji opieki w dotychczasowym miejscu"
370;"al21.3";"preferowanie prywatnych placowek opieki zdrowotnej"
371;"al21.4";"preferowanie publicznych placowek opieki zdrowotnej"
372;"al21.5";"zachety stosowane przez lekarza"
373;"al21.6";"chec powiazania i znajomosciom mojego lekarza"
374;"al21.7";"dobre wyposazenie tej przychodni (osrodka, gabinetu)"
375;"al21.8";"dobra opinia na temat tego miejsca lub lekarza"
376;"al21.9";"Zrobilem tak jak inni"
377;"al21.10";"Nie wiem, dlaczego tak zdecydowalem"
378;"al21.11";"Nie mialem zadnego wyboru bo byl tylko jeden"
379;"al22.1";"Przychodnia - nie przewiduje sie korzystania z KCh"
380;"al22.1a";"Lekarz rodzinny - nie przewiduje sie korzystania z KCh"
381;"al22.1b";"Lekarz PK - nie przewiduje sie korzystania z KCh"
382;"al22.2";"Przychodnia - wybiore, gdy zachoruje"
383;"al22.2a";"Lekarz rodzinny - wybiore, gdy zachoruje"
384;"al22.2b";"Lekarz PK - wybiore, gdy zachoruje"
385;"al22.3";"Przychodnia - nie wiemy jak"
386;"al22.3a";"Lekarz rodzinny - nie wiemy jak"
387;"al22.3b";"Lekarz PK - nie wiemy jak"
388;"al22.4";"Przychodnia - to chyba automatycznie"
389;"al22.4a";"Lekarz rodzinny - to chyba automatycznie"
390;"al22.4b";"Lekarz PK - to chyba automatycznie"
391;"al23";"Czy zrezygnowano z karetki w obawie o placenie"
392;"al24.1";"Czy zrezygnowano z leczenia w obawie o oplaty"
393;"al24.2";"Czy zrezygnowano z leczenia w obawie o skierowania"
394;"al25.1";"Czy korzystal z uslug KCh"
395;"al25.2";"Czy korzystal z prywatnych placowek z wlasnej kieszeni"
396;"al25.3";"Czy korzystal z placowek oplacanych przez pracodawce"
397;"al26";"Czy czesciej korzystaja z platnej prywatnej sluzby"
398;"aTypGD";"TYP BIOLOGICZNY GOSPODARSTWA DOMOWEGO W 2000 R."
399;"aNCUb";"NCU 2000 wyliczona lub oszacowana liniowo liczba jednostek konsumpcyjnych"
400;"bzug";"zrodlo utrzymania gospodarstwa"
401;"be1.1";"Stac na warzywa i przetwory warzywne"
402;"be1.2";"Stac na owoce i przetwory owocowe"
403;"be1.3";"Stac na mieso (w tym drob)"
404;"be1.4";"Stac na przetwory miesne i drobiowe"
405;"be1.5";"Stac na ryby i przetwory rybne"
406;"be1.6";"Stac na maslo i inne tluszcze jadalne"
407;"be1.7";"Stac na mleko"
408;"be1.8";"Stac na przetwory mleczne"
409;"be1.9";"Stac na cukier"
410;"be1.10";"Stac na wyroby cukiernicze (slodycze, czekolada itd.)"
411;"be1.11";"Stac na uzywki"
412;"be2.1";"korzystalo z wlasnej dzialki (hodowli, wlasnego gospodarstwa"
413;"be2.2";"korzystalo od rodziny"
414;"be2.3";"korzystalo nieodplatnie od innych osob lub instytucji"
415;"be3";"Zaspokojenie potrzeb zyw. ost. 3 lata"
416;"bf1";"Czy Pana(i) gospodarstwo domowe posiada jakies oszczednosci"
417;"bf2.1";"Oszczednosci: lokaty w bankach w zlotych"
418;"bf2.2";"Oszczednosci: lokaty w bankach w walutach obcych"
419;"bf2.3";"Oszczednosci: w obligacjach"
420;"bf2.4";"Oszczednosci: w funduszach inwestycyjnych"
421;"bf2.5";"Oszczednosci: w funduszach emerytalnych"
422;"bf2.5a";"Oszczednosci: w papierach wartosciowych notowanych na gieldz"
423;"bf2.6";"Oszczednosci: udzialy oraz akcje w prywatnych spolkach akcyj"
424;"bf2.7";"Oszczednosci: lokaty w nieruchomosciach"
425;"bf2.8";"Oszczednosci: lokaty w innych niz nieruchomosci dobrach mate"
426;"bf2.9";"Oszczednosci: w gotowce"
427;"bf2.10";"Oszczednosci: w innej formie"
428;"bf3";"Wartosc oszczednosci"
429;"bf4.1";"Oszczednosci na: biezace wydatki konsumpcyjne (np. zywnosc,"
430;"bf4.2";"Oszczednosci na: stale oplaty (np. mieszkaniowe)"
431;"bf4.3";"Oszczednosci na: zakup dobr trwalego uzytku"
432;"bf4.4";"Oszczednosci na: zakup domu, zakup mieszkania, wklad do spol"
433;"bf4.5";"Oszczednosci na: remont domu, mieszkania"
434;"bf4.6";"Oszczednosci na: leczenie"
435;"bf4.7";"Oszczednosci na: wypoczynek"
436;"bf4.8";"Oszczednosci na: rezerwa na sytuacje losowe"
437;"bf4.9";"Oszczednosci na: zabezpieczenie przyszlosci dzieci"
438;"bf4.10";"Oszczednosci na: zabezpieczenie na starosc"
439;"bf4.11";"Oszczednosci na: na inne cele"
440;"bf4.12";"Oszczednosci bez specjalnego przeznaczenia"
441;"bf5";"Czy Pana(i) gospodarstwo domowe ma obecnie do splacenia pozy"
442;"bf6.1";"Zaciagnelo pozyczki w bankach"
443;"bf6.2";"Zaciagnelo pozyczki w innych instytucjach"
444;"bf6.3";"Zaciagnelo pozyczki u osob prywatnych"
445;"bf7";"Ile wynosi lacznie zadluzenie Pana(i) gospodarstwa domowego"
446;"bf8.1";"Pozyczka na biezace wydatki konsumpcyjne (np. zywnosc, odzie"
447;"bf8.2";"Pozyczka na stale oplaty (np. mieszkaniowe)"
448;"bf8.3";"Pozyczka na zakup dobr trwalego uzytku"
449;"bf8.4";"Pozyczka na zakup domu, zakup mieszkania, wklad do spoldziel"
450;"bf8.5";"Pozyczka na remont domu, mieszkania"
451;"bf8.6";"Pozyczka na leczenie"
452;"bf8.7";"Pozyczka na zakup, dzierzawa narzedzi pracy (maszyny, wynaje"
453;"bf8.8";"Pozyczka na wypoczynek"
454;"bf8.9";"Pozyczka na zakup papierow wartosciowych"
455;"bf8.10";"Pozyczka na splata wczesniejszych dlugow"
456;"bf8.11";"Pozyczka na rozwoj wlasnej dzialalnosci gospodarczej"
457;"bf8.12";"Pozyczka na ksztalcenie"
458;"bf8.13";"Pozyczka na na inne cele"
459;"bf9.1p";"ma garaz"
460;"bf9.1f";"brak na garaz"
461;"bf9.2p";"ma pralke automatyczna (automat pralniczy)"
462;"bf9.2f";"brak na pralke automatyczna (automat pralniczy)"
463;"bf9.3p";"ma pralke nieautomatyczna (wirowke elektryczna)"
464;"bf9.3f";"brak na pralke nieautomatyczna (wirowke elektryczna)"
465;"bf9.4p";"ma chlodziarke (chlodziarko-zamrazarke)"
466;"bf9.4f";"brak na chlodziarke (chlodziarko-zamrazarke)"
467;"bf9.5p";"ma zamrazarke"
468;"bf9.5f";"brak na zamrazarke"
